,Place2,attestations,ration
279,Amorgos,1,4.00
280,Alabanda,1,0.77
281,Tenos,1,0.42
282,Sybrita,1,2.94
283,Polyrhenia,1,1.30
284,Malla,1,6.67
285,Kydonia,1,1.61
286,Istron,1,14.29
287,Hierapytna,1,0.97
288,Gortyna,1,0.13
289,Eleutherna,1,0.86
290,Biannos,1,3.45
291,Allaria,1,20.00
292,Sounion,1,5.00
293,Marathon,1,3.13
294,Brauron,1,6.25
295,Aigina [from Attica?],1,0.46
296,Stymphalos,1,7.69
297,Phlious,1,2.44
298,Pherai,1,8.33
299,Pellene,1,16.67
300,Patras,1,0.26
301,Asine,1,4.00
302,Melos,1,0.50
303,Megara,1,0.32
304,Megalopolis,1,1.52
305,Makiston (Skillountia-Mazi),1,50.00
306,Asopos,1,0.60
307,Kotyrta,1,14.29
308,Korone,1,10.00
309,Carthaea,1,1.03
310,Kalamai,1,50.00
311,Kainepolis,1,2.44
312,Gerenia,1,20.00
313,Aigosthena,1,2.63
314,Tuzla,1,25.00
315,Siklianoi,1,100.00
316,Yenişehir,1,9.09
317,Satala,1,6.67
318,"Magn.Sip., Area N. of",1,50.00
319,Klazomenai,1,2.86
320,Zeytinbağı,1,3.85
321,Kyme,1,1.00
322,Charakipolis,1,4.35
323,Assos,1,0.95
324,Alexandria Troas,1,1.69
325,Tithora,1,3.23
326,Thetonion,1,33.33
327,Thebai,1,0.59
328,Stiris,1,3.70
329,Lamia,1,25.00
330,Opous,1,2.44
331,Lamia,1,2.22
332,Oracle of Apollo Koropaios,1,10.00
333,Histiaia,1,1.45
334,Elateia,1,1.11
335,Chyretiai,1,1.18
336,Kalchedon (Kadiköy),1,1.27
337,Byzantion,1,0.16
338,Kios (Gemlik) [Mag.Sip.],1,1.15
339,Poimanenon,1,6.25
340,Perinthos,1,0.34
341,Şile,1,25.00
342,Ainos (Enez),1,1.11
343,Stoboi,1,0.83
344,Prov. unkn. (Mid. Strymon R. Valley),1,11.11
345,Olynthos,1,0.52
346,Lete,1,7.69
347,Audaristos,1,20.00
348,Aigeai,1,0.97
349,Scaptopara (Blagoevgrad),1,33.33
350,Pautalia,1,1.27
351,Epidamnos,1,0.16
352,Tauromenion (Taormina),1,2.27
353,"Phintias (Licata), area of",1,1.18
354,Megara Hyblaia,1,5.26
355,Centuripae,1,0.81
356,Metapontion (Metaponto),1,0.77
357,Neapolis (Napoli),1,0.29
358,Amalfi,1,50.00
359,Ravenna,1,3.33
360,Arsinoe,1,0.41
361,Crimea,1,33.33
362,IGBulg V,1,0.42
363,Augusta Traiana (Stara Zagora),1,0.86
364,Nemausus (Nîmes),1,4.55
